dim-1,dim-2,dim-3
13.680380,49.066424,32.044497
23.510673,15.895519,31.008335
27.239375,6.003719,58.634395
7.256260,39.125713,19.853271
34.229194,12.805836,31.127965
28.692385,43.742510,5.716534
151.544919,130.180601,6.588224
44.143372,44.876253,36.058012
26.816605,47.214518,27.833823
5.255910,64.561089,61.961430
26.523093,41.058085,64.716428
27.694463,37.657165,8.911339
62.599439,43.956799,31.996717
11.796798,10.777047,10.204123
27.307836,11.747914,43.955347
10.126264,17.093768,35.928971
26.869199,49.329139,44.992309
43.194890,38.653506,49.931719
29.134271,29.059351,20.619807
47.250694,9.824008,64.889660
63.855733,45.081758,28.876487
11.885906,9.690886,12.362157
25.949147,36.127734,5.923970
36.710006,42.740306,7.024394
31.779104,55.658183,55.877667
17.742270,24.413608,39.769165
21.211723,32.767946,40.603403
25.709516,48.849136,49.062244
10.384162,20.784948,12.259583
49.938421,40.872628,32.681395
-66.720593,50.904252,30.793273
33.729395,14.857757,43.042406
61.566524,30.361039,20.402931
38.271456,29.103674,26.059113
-125.422071,112.164716,122.261175
23.337843,19.573050,7.947514
58.810247,6.242654,57.812775
44.346977,19.950961,32.307275
23.142024,37.318864,45.319970
8.392936,57.492631,36.942624
61.042390,55.104263,24.054142
56.566360,14.089552,11.257349
8.541413,43.179060,63.043298
62.578181,42.321723,16.966210
31.737273,17.352783,11.076024
33.656522,39.043544,36.851585
25.660389,45.449968,19.628104
8.003533,8.077005,20.422194
28.146908,14.866587,40.083042
58.576000,10.068680,29.950006
14.621888,9.775480,23.769024
9.267681,19.721932,61.795478
24.898069,5.236911,6.376643
35.961699,22.392288,9.512023
19.189444,12.848044,30.990907
37.483678,35.217117,56.398245
39.788114,55.143187,40.424996
57.035409,18.447427,50.808890
32.255050,20.724601,63.410045
43.400206,59.751046,34.519545
9.525293,63.189251,23.053199
14.850461,28.449638,40.651931
45.102751,52.103396,24.386303
62.895601,29.504906,18.421591
50.561302,64.341210,25.429051
57.048984,36.627776,5.307565
11.040518,63.099551,16.835352
48.041108,11.642249,36.285900
91.892661,-137.698224,-67.365342
37.933757,28.050833,9.330665
50.258768,62.823535,31.199984
49.719738,5.102035,55.559328
44.866809,34.840150,39.036587
21.882492,10.373676,55.793847
58.648813,5.652983,9.427331
60.342774,21.099608,58.156408
7.669049,39.445866,34.490443
55.981119,36.716750,43.083407
52.192258,32.759471,29.011872
54.548813,6.762124,8.576814
151.308139,100.242328,57.596104
11.183007,52.742372,18.867095
35.458623,54.496163,52.941331
29.961001,37.332142,35.885933
34.803179,56.262651,7.242738
24.917138,19.489745,32.864916
46.564809,7.911204,23.337608
48.778786,32.317818,16.591433
64.498337,53.420114,23.883745
8.263690,27.916799,30.403542
33.526131,5.465397,38.681811
54.773315,25.602402,24.538521
5.902458,17.837414,12.163536
34.286113,62.998927,42.271390
61.046827,27.993331,40.654994
52.184880,52.723076,20.404184
37.169150,21.321730,41.095125
47.975000,8.761585,55.936525
60.345544,15.041802,18.778781
34.568625,58.490307,21.420363
53.660357,61.981100,7.451389
56.761397,39.591615,44.881864
62.900531,35.969137,30.364518
23.067824,64.667180,7.330935
52.496704,49.203214,14.143811
16.755242,61.041790,55.406101
13.732470,7.653009,21.020209
42.206692,41.464862,37.934854
20.598402,48.180771,24.982088
55.049650,55.868382,21.465000
34.335581,56.083234,15.385368
5.193263,34.111664,38.853181
36.053396,11.332199,25.625904
45.399883,33.249007,10.662248
30.562078,27.557691,37.555643
13.286706,32.309796,41.872856
28.701269,63.187623,18.169726
30.709058,10.207636,35.933373
20.891115,47.207231,38.809976
33.729772,45.334107,26.007875
48.695470,56.441531,5.017168
42.896623,24.948853,54.455543
43.573421,34.793144,34.077997
62.938812,23.292780,58.806779
16.222895,13.902151,48.771594
21.015003,29.469166,24.428859
35.269805,39.313697,8.869051
51.698066,7.904742,40.102586
135.894151,-152.785855,110.194264
34.372368,52.689529,58.866102
10.872953,24.544105,63.233832
-104.983558,-145.394118,133.965338
27.707064,59.359910,57.214756
60.191143,31.131121,64.370928
54.187814,17.609785,51.475625
34.980008,27.016345,27.046142
42.655504,11.859089,49.298435
63.257045,5.282414,34.032941
60.482211,50.822740,51.457743
52.626445,53.578896,48.122498
44.664324,12.569321,42.243227
30.680495,42.646964,52.003718
-150.396349,60.500820,-149.865182
56.766160,7.912809,61.745832
22.859022,10.652781,12.769945
59.759547,27.633174,53.211944
11.282423,57.279523,29.478121
-129.031834,-107.917426,53.209931
43.977002,14.810607,15.872234
23.026620,13.337168,33.844494
29.823964,26.102557,29.694047
7.361902,-163.111104,37.152160
50.042252,27.014842,46.371846
37.411226,51.687917,35.387382
7.887587,62.529370,60.661000
43.614305,61.851903,40.139724
44.466620,136.937812,-79.450639
33.922443,17.600499,26.707189
31.890899,41.764270,33.631599
-90.169338,9.058852,-121.852798
21.759978,47.282895,6.891978
40.789357,58.146328,24.271680
43.836118,36.744146,6.269458
32.892178,53.877231,5.306781
6.472739,41.484790,37.707381
24.613092,60.248532,64.265300
43.936135,13.827351,5.400240
49.578978,7.715232,6.242853
57.737834,55.025889,34.611808
54.522466,99.818431,36.946028
120.313945,28.914458,163.197564
49.314994,55.593775,14.069265
39.591363,31.390439,36.891352
31.392437,54.697220,49.524769
28.585438,9.747225,19.290547
63.087967,44.729192,46.927899
31.849889,38.054354,47.982673
64.012177,44.750079,51.581705
19.178495,32.781958,36.151477
53.024178,-90.524910,-77.672427
14.793940,60.699644,27.332039
56.229360,42.765895,21.591174
63.317317,55.184721,16.000661
64.607150,42.571920,28.506168
32.332644,20.422420,5.783449
90.808719,137.363677,-113.439112
44.346857,27.016909,37.692880
50.507720,59.448873,5.424908
24.774108,48.326546,14.548860
18.043184,48.331190,34.828819
-127.173884,-139.245807,48.368926
47.964462,24.630486,41.530363
14.527066,61.025998,26.440396
27.600249,34.248571,21.412841
5.886997,42.633743,40.893265
63.447087,14.607421,59.790692
44.435769,57.818971,45.686613
57.969924,63.140884,10.904346
26.188228,31.563337,52.031451
7.766763,40.792523,12.980049
30.353749,38.114575,14.819757
7.070937,53.477399,43.922844
63.445805,12.262713,22.813144
9.819298,5.010207,46.549827
9.178668,34.189093,20.692718
29.258286,35.950291,42.454589
18.296081,21.486868,41.465966
43.283352,37.255286,11.379567
-73.298568,10.357528,95.770331
49.713192,11.621960,51.584309
17.646220,25.308412,10.849354
60.700948,47.508391,6.503901
30.746370,59.835489,24.561280
7.630018,34.904469,47.567388
40.567040,11.394134,58.227230
43.460557,28.501996,41.702746
31.536589,14.651064,9.728831
61.809141,37.309552,35.782386
31.115557,10.688598,37.769005
-65.153042,13.826681,37.322392
22.025520,47.375399,56.763299
47.720148,30.245852,41.623571
7.398971,31.809081,40.791007
56.022793,48.112418,28.961182
45.444055,34.064308,52.733286
58.027460,63.178575,22.154179
11.575501,16.450704,40.203092
50.556187,45.606172,18.014063
102.703268,113.373683,-108.448366
6.305525,37.395708,21.284658
23.389827,51.889340,37.264440
16.732242,62.854275,26.476061
45.822291,41.190011,24.836945
34.863115,13.068619,64.331815
57.906383,14.452737,30.092021
5.877595,30.956367,41.280637
28.427942,58.067195,48.032412
-157.899954,6.570937,28.073315
21.894160,21.649470,22.538511
42.158804,35.917916,22.667999
49.838750,14.505640,21.998807
38.780214,16.687480,26.140020
13.749519,40.482210,11.264227
16.601127,42.440297,8.166212
35.422615,26.058609,60.761270
14.801304,48.329714,28.236491
41.353719,5.897471,48.353507
63.123045,18.012468,36.000637
16.643711,32.390701,150.609194
38.472588,43.780956,40.659200
52.097070,48.706376,12.553263
39.251683,52.281445,55.174240
19.989149,7.224705,35.572104
136.781673,-139.743256,-146.429250
11.844831,15.376668,38.744116
39.981513,38.504812,8.231272
25.963952,49.202328,26.039687
-70.255334,14.850569,35.215575
53.231493,54.239715,12.408003
47.021584,63.291647,49.475581
36.187929,37.762352,26.586874
15.508906,57.805282,58.987746
14.510090,44.255604,41.726942
127.892792,136.543520,-155.845060
16.246401,34.324841,55.139844
52.637385,52.277492,39.971886
63.807393,12.151413,17.948003
50.491022,18.188459,12.797478
5.641139,7.966658,22.106747
19.313656,63.516415,26.135777
63.080166,44.604750,63.243748
7.705381,27.867384,63.372107
6.576175,44.812791,10.103185
15.929200,64.000124,55.304550
32.814104,-157.664354,101.049603
22.341771,41.242318,12.132369
57.559635,63.633235,52.115582
15.889238,39.529122,61.176664
20.637428,63.224897,48.116071
5.532710,64.030363,17.858623
61.104969,45.742112,44.047660
32.723366,12.836560,31.736476
24.017904,25.124224,8.909356
52.759526,10.153774,47.026973
26.318791,18.380789,18.657399
52.659168,19.622411,36.496569
45.896708,6.497982,31.902221
-100.919167,57.604473,7.898351
26.814935,6.431076,58.983858
23.854652,62.957492,100.627978
56.767662,20.252621,17.479902
44.477884,7.682556,15.002411
27.340222,22.628796,7.083223
12.212410,23.046724,15.732534
45.086283,21.840939,21.652041
53.439144,45.938246,8.221572
27.669194,7.364935,63.688780
52.488546,59.255614,63.419457
17.449042,40.357384,16.742341
48.537617,30.723565,46.014828
43.425126,13.993769,19.989318
5.722317,21.611659,19.637375
57.243452,26.557506,19.941006
-67.789546,-99.179966,137.684217
49.747230,8.230484,45.882104
48.216849,43.033788,60.226772
50.661237,59.401039,21.027104
33.605893,33.322069,51.354041
46.648763,10.051767,5.449288
20.508892,56.866614,37.184170
13.507288,24.396050,47.642838
21.572527,31.067690,52.204865
24.509344,19.786852,47.619174
56.050584,60.133099,39.522824
-76.225868,52.358998,153.921298
56.561993,-100.607016,15.081734
110.891224,29.680744,105.074883
59.546285,27.343428,11.232550
54.464558,30.420315,38.235638
36.194374,54.525317,57.208665
40.980954,27.583864,64.908374
15.958930,19.103659,27.809834
47.244516,57.049074,26.897490
149.637036,45.222065,139.882981
23.729814,60.881841,58.353582
47.488062,16.408535,9.887787
26.759724,19.409468,16.677902
7.935076,10.001857,55.381269
16.664249,19.946875,54.164845
12.592680,32.089250,50.018750
-113.520014,128.473488,-162.031109
29.492349,62.002734,44.673949
23.667177,56.177890,52.987263
26.071995,35.057487,10.752923
42.588402,17.797948,9.705422
36.286538,51.032230,15.963129
121.619848,39.671156,66.870851
27.012747,39.804016,6.001706
95.898161,-157.705116,43.435037
23.814275,61.912822,31.293327
52.813531,148.700784,-149.281487
35.406497,40.823969,54.579487
9.747706,8.285407,53.504845
38.014319,33.334753,21.050039
61.272061,59.357721,43.152785
24.817232,8.128324,37.511708
43.948754,55.327733,58.624184
42.926417,27.955451,64.216896
55.488109,13.882569,40.512119
7.318051,10.830668,30.579490
28.289261,38.556231,55.413829
5.178787,11.264503,23.121142
18.390280,64.694498,44.919878
52.743669,62.395390,45.819402
63.543996,34.435123,39.776624
161.147190,8.875180,-121.387997
12.481139,40.047763,9.015047
41.622118,14.899867,48.081303
34.860773,30.414630,6.075904
47.258876,41.068532,35.016081
20.104079,12.865878,16.924666
54.684669,32.786783,23.485892
61.597485,28.746491,6.572980
18.477508,46.882929,44.892877
17.067629,26.576149,39.249644
63.883244,63.712584,12.906173
29.907538,57.458783,10.437174
56.401861,57.088550,48.220147
133.681238,-65.649897,-116.717595
19.483657,26.156744,18.270888
58.524633,8.240965,39.907472
-113.496812,19.143310,70.906548
23.619142,55.358312,35.759604
6.851735,54.221965,31.098435
47.166003,47.404336,48.329541
64.134880,61.176131,27.956288
42.465351,46.792631,48.637816
48.495358,28.232824,35.780718
46.553362,48.589969,12.908739
61.194039,61.765824,21.468762
-78.570054,148.335232,34.326301
28.751059,5.342026,28.841896
19.491444,34.129749,12.328678
31.850156,38.994208,40.710575
15.458436,15.223904,-134.639935
43.224903,38.752515,44.407960
30.904252,61.793668,25.655977
27.480592,55.497166,58.596590
59.105079,61.907519,28.614040
56.037533,24.430910,21.324756
54.946875,40.854274,6.246739
34.659392,34.107565,20.743991
23.241785,39.685864,47.163403
135.191372,39.949389,37.887703
43.270036,59.206383,57.774420
41.776073,21.019904,26.373138
22.188629,27.743416,6.421944
62.716271,32.033053,43.387316
57.056335,6.390871,15.916981
-133.124811,140.227072,-100.573956
41.385508,77.046660,136.139584
12.291889,30.210112,35.127658
50.549559,6.179571,6.477742
37.451615,-163.529018,146.000129
45.390553,56.024442,7.599736
11.263208,42.794786,26.595528
25.794239,59.839659,10.120604
28.409560,6.565870,64.943525
18.009200,-140.450830,57.494671
55.416028,48.152603,16.221538
-71.191985,32.453046,35.444203
57.667747,20.953878,17.937906
9.491179,15.286758,36.424635
23.922720,47.553881,44.259211
26.028021,21.028771,42.096548
62.916822,58.577333,24.123213
18.709712,47.720210,50.911577
27.547912,26.524281,11.147827
44.865696,62.270567,40.079949
6.435333,29.451564,9.379164
48.269921,58.553879,21.736129
10.015425,51.195720,28.421646
-121.719641,46.711124,21.793877
47.474965,28.895514,7.341209
57.997637,58.298680,27.985440
13.026158,27.603614,14.721552
55.909426,21.998040,42.302844
43.474501,19.822001,25.258484
16.313066,50.718494,23.257278
18.634546,54.751747,44.226887
58.393899,33.565994,43.754080
53.887282,49.482674,10.024289
18.122681,7.652943,21.786045
43.830679,25.451037,47.453475
46.647323,24.274972,46.952246
48.337070,54.416116,30.272809
12.527326,22.152083,53.065516
12.248657,51.781718,6.757557
26.164755,31.290770,38.541884
21.346682,13.020544,29.845320
8.396401,49.302075,52.263700
39.811306,26.120952,34.262467
38.233810,63.538857,54.493914
62.884880,19.357341,8.313958
9.868794,19.085356,48.479329
20.436695,33.138184,15.970552
51.819060,45.765603,40.151315
62.519070,10.338926,9.858407
41.156530,44.213936,33.452995
64.281618,53.272510,8.265648
33.233506,27.688144,54.529748
36.541772,28.043650,23.664311
47.306210,10.998725,-145.163976
25.055300,21.019750,15.551226
10.670854,18.618597,56.022285
53.915266,5.958233,56.095553
8.697833,55.860834,37.463159
6.141536,5.614802,39.632194
154.561903,-99.634849,59.527478
8.451129,29.034710,45.636790
15.623241,54.766727,18.848548
10.509801,40.893370,6.014819
28.056336,21.391369,12.248406
45.781748,59.305556,14.092635
30.511866,53.477124,15.745034
75.995944,22.714175,-159.405273
63.296646,47.598211,59.086102
30.221478,8.924912,33.405542
31.210614,33.663799,43.093428
40.646491,40.050404,48.192406
55.912585,6.071713,21.410145
6.007086,64.094769,21.553475
46.059208,54.820372,73.294135
36.272595,52.067837,49.202431
21.487717,15.826143,38.259129
63.397985,11.446807,5.417018
56.303865,52.247737,5.954008
124.637402,79.407732,129.261389
29.235592,44.892064,25.060266
60.630108,39.929910,11.586608
46.732146,42.162242,38.973591
13.942706,33.065393,36.678456
-145.978693,60.876805,59.076601
41.804909,31.323006,10.702809
42.547983,41.129196,39.819776
23.256427,30.320478,12.811407
-135.871565,117.491997,-123.832651
21.664506,35.716237,60.655892
36.131550,10.068395,57.556184
9.667482,58.000998,9.612710
32.802767,56.506464,60.505640
9.384587,51.690575,41.927607
12.993376,51.189379,13.225198
-130.426086,112.589355,-86.121394
50.656734,54.342351,62.631760
29.039252,62.880939,31.825482
10.669255,33.990835,37.053661
20.929413,26.989880,22.797389
33.948234,64.039681,57.995871
64.708620,51.594636,33.352822
62.395112,62.111195,25.601097
46.561496,9.029513,17.626619
49.943419,-106.867740,148.776550
41.772518,45.945688,39.075806
20.391187,38.385467,17.219292
5.505608,32.339256,63.169233
34.224222,24.250189,18.164355
19.121018,60.676508,39.934044
37.445576,18.427600,10.247295
43.290704,20.508620,55.513367
37.989906,48.674791,6.100050
48.654186,45.346756,22.722749
14.804894,8.436137,32.447907
41.745093,12.734814,63.102096
53.699480,45.614982,54.795208
33.153168,26.484485,49.205930
28.603378,9.478704,8.413340
-148.485752,90.173290,-77.047272
33.175375,46.440944,38.729392
44.884161,66.478781,82.636229
50.938028,18.991064,56.905201
33.063903,21.040397,38.495766
50.534044,39.991406,16.381344
26.905264,51.753677,34.229225
29.279414,33.799802,62.022309
41.276531,44.997249,14.609677
49.737064,23.917719,31.475676
58.612502,-152.857781,136.202328
29.582301,45.619890,30.326031
39.988298,17.719656,52.020148
54.514686,57.741302,61.375810
35.885079,51.674192,55.046761
30.665126,17.271291,31.691935
25.629604,45.311116,44.500650
32.133412,23.751985,61.339670
112.111407,37.964862,147.340284
57.271933,31.401327,36.344444
53.217632,34.333920,36.336946
151.038923,50.186609,-109.940491
57.321707,27.607621,17.383998
12.537401,63.299052,39.846100
12.174967,56.440504,9.669795
50.685281,64.736785,20.735979
63.367616,28.145990,55.521594
46.120891,24.904738,60.738343
16.287204,43.493604,30.295184
-93.721874,-92.318811,98.268401
58.006258,21.491806,63.014174
36.829622,8.733345,37.469087
16.139941,9.702841,41.058003
21.817527,48.170204,15.221125
53.866462,56.299425,23.575670
43.813842,43.650888,56.178632
89.484120,135.052137,145.271488
10.235782,53.133687,21.776379
36.055130,5.329832,9.046558
22.473010,20.130448,9.959652
21.516090,44.642692,55.894897
27.562825,147.905517,21.689113
25.401958,57.565440,52.036923
53.269241,30.552493,53.467891
42.993600,17.808525,25.133146
63.909883,59.195498,30.414328
16.960928,8.419292,56.546292
50.048743,62.875963,26.551975
35.773504,19.296945,16.007509
63.055893,62.512137,18.170199
17.209035,51.673084,21.768159
48.131833,62.225919,9.048172
49.416911,36.577385,45.318310
14.091522,20.860244,7.663314
8.656587,78.758213,145.610947
56.652233,40.741979,23.789821
47.220701,60.127695,61.784910
52.010622,44.396007,13.708199
51.651486,16.198474,59.603180
39.050563,25.610794,23.172374
10.434275,53.455937,54.299440
18.932039,45.030088,35.509131
28.264693,49.428405,27.441848
43.378768,53.843015,61.486079
30.833144,44.915562,11.288849
41.490817,21.212901,7.139941
5.756514,51.619656,26.237568
31.777494,12.640123,31.688914
63.466945,58.062479,39.906149
27.187257,23.247532,55.542807
38.988999,62.633567,63.616967
7.951823,43.897778,24.702746
60.498002,51.034501,14.785341
58.958482,7.136685,51.069028
43.525073,37.278820,41.278903
13.697475,25.850850,59.498351
16.191535,39.246533,63.637337
41.855771,35.793229,36.245369
47.235754,56.976686,61.259882
64.720841,52.991159,58.988176
53.335291,31.984176,61.663262
29.074244,33.738485,52.382394
-156.304382,-103.681969,50.809648
45.565993,49.330912,41.571667
24.336270,26.262302,63.782475
51.198025,34.863790,38.373230
18.891642,27.095040,21.846624
20.693276,62.716274,12.989373
62.106443,9.168957,24.705149
20.316551,35.033738,6.061237
29.021969,5.902540,47.204520
44.410253,47.648297,47.675705
27.868629,15.099198,56.178355
56.788285,6.026915,6.095354
20.807537,34.020016,37.484995
8.508658,27.070017,6.946624
6.863281,64.509688,51.655494
56.721615,13.271901,27.593509
39.152443,35.286230,11.987005
63.746483,42.352106,21.463182
14.621621,46.399864,13.696818
43.327988,23.742443,54.256761
58.867551,17.201665,16.604878
27.995680,26.223169,34.497714
62.300322,48.721224,10.713670
24.457752,29.475142,41.494202
18.138418,51.403727,23.953654
24.007552,9.533654,35.069609
38.957942,9.993452,47.828550
11.205542,58.982482,33.518570
-108.996495,-162.093464,20.713081
51.172746,32.458492,10.525393
28.784419,45.661555,20.179618
15.113855,18.429260,6.478308
56.943107,11.224823,28.506542
21.197066,20.574143,41.742724
61.605331,18.374685,15.491011
6.405950,5.008532,8.278052
23.263637,38.666853,5.330063
47.367782,50.350912,40.886150
50.568838,36.081722,52.016664
12.242591,40.365907,34.719689
-133.931600,148.740608,45.529372
39.496731,20.629779,15.168000
55.137482,57.779060,20.473822
54.544629,48.517196,22.549833
21.102335,54.991507,52.005609
59.381716,62.275240,8.764685
24.938999,22.236938,25.182832
5.853568,62.321129,20.541859
64.534237,55.676777,63.560448
40.336687,23.198471,31.655720
46.860187,31.603266,39.958727
63.199458,31.548934,33.025649
42.785282,55.027869,29.494077
8.131123,7.432107,13.853722
-134.360566,-127.798683,97.074112
164.292252,47.689100,110.671100
26.587291,34.164341,42.294155
56.248353,12.579352,43.677780
48.744533,8.181375,55.077371
122.172537,-103.022648,-109.032288
19.429627,58.025296,30.422607
22.290619,24.851156,30.330548
60.660694,29.455668,57.483393
44.076625,7.508171,52.719885
28.057984,16.054269,27.313997
8.274133,18.580379,14.900291
44.824830,60.633132,31.271278
41.926929,13.805661,49.693856
59.015929,43.653643,64.756415
38.750732,8.264720,23.323464
38.037023,64.252685,11.223497
23.209215,27.757691,23.873721
12.870816,55.994011,8.519866
14.896308,22.155529,26.527526
28.046738,9.321958,24.813166
51.645019,62.307797,20.265177
37.009319,58.477908,28.521345
13.171190,45.446825,57.797637
36.700836,34.913264,11.112694
59.761727,46.747686,30.031226
18.843741,31.590275,8.014999
37.390222,50.857410,48.829695
16.922535,32.119483,40.715897
14.998405,42.514889,56.704879
50.322260,54.224482,10.697989
23.932248,53.176237,22.476951
50.131889,39.437650,58.718214
53.371885,31.138087,9.573161
35.969892,63.863395,6.960152
22.311185,27.399213,40.408407
14.819082,12.913942,49.747159
35.838847,60.712265,53.233320
46.669687,47.316817,31.760538
25.581684,34.912740,13.145728
64.226487,20.311640,21.994404
41.806976,149.552421,102.363231
-136.731393,71.167384,12.786612
62.105033,14.237618,36.612007
13.441610,44.276405,25.115061
45.100179,86.046505,61.464564
59.343769,50.308672,54.955933
137.825860,52.428768,-100.061535
32.521264,64.417204,22.220968
15.889142,13.138247,43.118799
50.489028,7.096560,56.970227
9.688816,49.549904,6.853721
32.153852,25.753058,37.608613
54.643230,11.825041,23.855736
77.655110,30.313727,137.347670
7.097234,11.574836,54.324313
63.530011,45.794472,57.759187
53.070898,17.755455,16.267284
137.777000,34.561524,20.074587
40.623691,13.231410,26.502272
64.740344,17.630914,59.246958
10.597762,41.268411,48.274369
20.730050,62.337383,30.897857
45.093156,42.317241,23.695491
50.435625,19.444487,58.331705
54.242265,8.570180,33.827022
51.145532,22.905501,55.831942
127.219847,33.473800,32.293930
13.245115,43.067906,19.973266
-94.833752,-159.601299,-88.799099
30.322333,19.225884,39.607297
6.560239,7.127234,50.980175
62.707090,47.625220,53.132120
44.237237,6.566264,52.400055
26.525494,21.786295,10.666168
46.670547,63.268949,29.375600
52.826910,51.446648,60.765158
5.540020,11.357074,36.806081
10.349187,22.956121,12.784365
-139.956208,49.411357,77.491721
64.494666,37.838868,61.079693
58.637984,10.918495,23.618281
61.154075,57.808403,32.573685
21.172155,39.639711,41.574698
38.403766,24.755325,10.944344
33.935901,117.981389,-134.360596
5.482868,31.389427,38.227285
21.939970,15.887412,34.883231
42.770125,49.822624,19.005634
12.047560,7.637976,21.773093
6.442521,18.307035,45.046892
18.417248,47.724743,49.030393
43.109819,64.560790,12.652565
43.648406,25.289723,34.427253
9.071403,45.191717,29.138469
62.509930,53.336122,36.524729
28.207086,57.476808,20.554730
59.574069,23.541488,24.224014
41.542315,24.631902,46.535559
59.059529,34.885308,22.644733
59.318390,46.211766,46.494124
61.621675,36.028461,6.577271
45.153229,11.374880,58.179365
29.540757,39.797351,53.583970
47.567864,24.255008,30.252362
48.360841,28.240264,60.457446
38.339260,43.522630,30.502373
62.167097,58.642705,40.713777
6.925517,19.697504,22.377310
10.208344,5.455446,49.912612
82.229293,116.532559,145.030855
51.730234,19.676603,55.643034
32.094072,46.502321,22.779137
14.638797,28.136215,52.594431
17.887924,34.406659,51.240031
55.676473,42.434474,46.727898
42.735108,36.606427,43.548376
43.870461,19.526136,15.330187
54.617918,57.896827,17.589771
61.216893,42.121271,29.993579
39.555741,11.594491,31.786480
-79.251007,144.885596,-119.552747
33.629806,34.515570,18.117304
51.378304,51.967096,17.280399
24.423612,57.310959,7.649986
30.800642,9.890267,54.874984
24.108085,7.366366,39.296128
31.840997,42.610222,60.497384
38.810026,39.058308,28.918332
12.380008,43.564353,56.593302
33.116620,9.898273,26.223067
64.322832,11.910699,10.898196
55.367071,49.683488,15.398426
39.957786,13.829586,25.724079
32.392518,9.501337,64.813399
35.367957,15.975882,17.367114
11.818703,16.664283,31.505261
13.409437,8.040122,37.738330
48.010893,31.623149,29.323228
